person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
202,A,D,D,A,A,A,A,A,A,A,A,,A,D,D,A
203,A,A,A,,,A,D,A,A,D,,D,D,A,,
207,A,D,,A,,,A,A,A,D,A,A,D,F,D,A
208,F,D,,,,A,,A,A,D,D,A,A,,A,A
211,A,C,A,A,D,D,A,F,A,A,A,D,A,,D,
212,A,,F,A,D,D,A,D,D,A,A,,A,D,,D
214,A,,A,A,A,F,A,A,A,A,,D,D,F,A,
218,,F,D,,A,D,A,A,A,F,A,A,A,,A,A
219,D,D,,D,A,F,A,D,A,A,D,A,A,F,,A
220,A,,D,D,A,A,A,D,A,A,A,F,D,A,D,A
221,A,D,A,A,A,,A,A,,A,A,A,A,A,A,D
223,,,A,D,A,D,A,,A,C,D,D,A,A,,A
224,,D,D,A,D,D,A,,,A,A,D,A,D,F,D
225,A,,,,F,D,A,A,D,A,A,D,A,,A,A
226,D,A,A,,D,A,,F,D,A,F,A,,D,A,D
228,,,D,,A,D,A,A,,A,A,A,,,D,A
229,,A,A,C,D,A,A,,D,,C,A,D,D,A,D
231,A,D,F,F,A,,D,A,F,D,F,A,,D,A,D
232,A,D,A,A,D,,,,,A,A,,A,,F,C
233,A,C,D,A,F,A,,A,A,D,D,A,,D,A,A
236,A,,D,A,D,D,F,A,D,D,A,,F,D,,A
238,A,,F,C,A,A,A,,A,A,A,D,D,A,D,A
239,A,A,D,A,D,A,A,,D,,D,D,D,,D,
241,D,A,D,D,D,A,F,D,A,C,D,A,F,D,D,D
242,D,D,D,A,A,C,A,D,F,F,A,A,A,,F,A
243,A,F,D,D,F,D,A,A,,F,F,A,A,A,A,
244,D,,A,D,A,A,A,F,A,A,A,,,A,,A
245,,D,,A,,,,,D,A,,,A,D,D,A
247,F,,C,F,D,A,A,A,D,D,A,A,D,A,F,A
250,A,A,D,,A,D,D,A,D,D,A,A,,D,A,
251,F,D,,A,,F,A,A,A,A,A,A,D,,A,D
257,D,F,,F,A,F,A,D,A,,A,A,A,,A,D
260,D,A,D,A,A,A,A,,D,A,A,,F,D,D,F
261,D,D,A,A,A,A,A,,,A,D,A,D,A,,A
262,,,,,D,A,A,A,A,,A,,,A,A,
264,A,A,,,,A,,,F,C,,C,,F,D,D
265,F,D,D,A,,A,A,,D,D,A,,A,F,A,A
268,A,A,A,D,A,D,A,D,D,,A,F,A,A,A,A
269,,A,D,D,A,A,,,F,D,,A,D,D,,A
271,A,F,F,A,A,,A,,D,F,D,D,,,C,D
272,,,,D,A,A,,A,D,,A,,A,A,D,A
273,,,F,A,A,A,D,A,D,D,,D,D,D,A,
274,A,A,D,A,D,A,A,A,A,A,,,D,A,D,
279,A,A,D,A,A,A,,A,D,,,C,D,F,D,D
280,A,C,D,D,,A,A,,A,A,D,D,A,A,,D
281,,D,A,A,A,D,A,A,A,D,,A,A,F,D,
282,,A,A,,,D,A,,A,A,A,D,A,D,D,A
283,D,A,A,D,D,,A,F,F,F,F,A,D,A,D,A
284,A,A,A,,A,D,A,A,,A,,C,D,A,A,A
286,A,A,D,A,,A,F,A,F,A,A,A,D,A,A,
287,A,D,F,A,A,A,A,D,A,A,A,D,,A,,
288,F,C,A,D,,A,F,,A,D,D,A,D,A,D,A
291,A,A,,A,A,,D,A,D,A,A,A,D,D,A,A
293,A,A,,A,D,A,A,D,,A,A,F,D,A,D,A
294,F,,,,D,F,,,D,D,D,A,A,A,,C
295,,,A,A,A,D,D,A,A,A,D,D,A,,D,A
296,A,,D,A,,D,,A,A,,D,,D,A,A,A
299,D,F,D,,D,A,F,A,A,,,A,D,D,A,D
300,,A,A,,A,A,,D,A,A,D,A,D,,A,D
302,A,A,A,A,,C,A,A,D,D,D,D,,A,F,D
303,,,D,D,A,A,,A,F,D,A,,,D,A,F
304,,A,A,,A,A,A,A,D,D,A,,D,,A,D
305,C,A,A,A,D,,A,D,,A,D,A,A,D,,D
306,D,A,D,D,A,,A,A,A,,A,A,A,,,A
307,,A,A,A,D,A,A,A,,A,A,D,D,A,D,D
309,,A,,D,,D,,D,D,A,A,,A,A,,F
310,,,F,,,A,A,A,D,D,A,,D,A,D,A
311,,,,A,A,D,,,D,,A,A,,,A,A
312,D,D,D,D,,A,F,A,,A,D,A,D,A,A,A
314,A,A,,F,,A,,,A,D,A,D,D,A,A,D
315,,D,,F,,,D,D,A,D,A,F,A,A,D,D
317,,A,A,,D,D,A,,,A,A,D,A,F,D,F
318,D,,A,A,F,A,A,,,A,,D,D,D,A,A
321,A,A,A,D,A,A,A,A,C,D,F,D,D,F,D,A
323,A,F,A,A,D,A,A,D,A,D,A,A,F,A,D,D
325,A,,C,A,D,D,D,F,A,A,D,D,A,F,A,A
329,,A,D,A,A,A,A,A,A,D,A,A,A,D,D,A
331,A,A,D,A,D,,A,A,D,D,F,A,A,C,,D
332,F,A,,A,A,C,A,A,F,D,A,C,A,D,A,A
333,D,A,A,D,C,,,A,,D,D,A,A,A,A,D
335,A,,A,D,D,,A,,A,A,F,A,D,F,,
340,,F,A,,A,,A,D,A,A,,,A,A,D,D
341,,A,A,D,A,A,F,A,A,A,A,D,,A,D,D
342,,,D,C,A,A,F,D,,A,,D,D,,D,D
343,A,A,A,A,D,A,A,,,,F,A,,A,A,D
346,A,A,D,D,A,D,D,D,D,D,D,,A,,A,A
348,A,,D,,A,,D,D,A,D,D,A,,,A,D
350,A,A,F,D,A,A,A,A,A,A,A,A,D,A,,F
351,D,A,,,,,A,A,A,F,,A,,D,D,F
354,A,,D,A,A,A,A,,A,A,A,A,,,A,A
355,A,,A,A,A,A,D,A,A,A,D,D,A,A,,A
356,A,A,A,A,D,A,A,F,A,,A,A,D,A,A,A
359,A,A,F,A,,D,A,D,A,A,A,A,A,A,A,F
365,A,,A,A,A,D,A,A,D,D,D,F,A,,A,D
367,D,,A,F,D,D,A,F,D,A,,D,A,A,A,A
368,A,D,A,A,,A,A,D,A,A,A,,A,F,,A
369,,D,,,A,,A,,D,F,A,,A,,A,A
372,,D,A,A,A,A,D,D,D,A,D,D,A,C,D,A
373,,A,A,D,D,A,,,A,A,A,,A,,,A
375,D,,D,A,,A,F,D,D,A,A,A,A,A,F,A
379,F,,F,C,F,A,A,A,D,,,A,A,A,D,F
380,,D,A,,A,D,D,D,,F,A,A,A,D,,D
382,,A,D,A,,A,A,A,D,,F,D,,D,,
383,,,A,D,A,,A,D,,,D,A,A,A,A,A
384,D,F,D,,A,D,A,A,A,A,A,A,A,A,A,D
385,A,A,A,,D,,D,F,A,,D,F,A,A,A,A
387,A,A,A,D,,A,A,D,,A,,D,,A,F,D
388,A,A,A,,D,F,A,D,A,A,A,D,,A,D,A
389,D,A,A,A,A,A,A,F,A,A,D,A,,D,A,A
390,A,A,D,A,,F,A,,D,D,A,D,F,A,A,A
391,A,D,A,D,,D,D,D,A,,A,A,D,A,,
397,A,A,,,F,A,D,D,A,A,D,A,A,F,D,A
399,A,F,A,D,A,F,A,A,,A,,D,A,D,,D
403,A,A,F,A,,A,F,D,,A,A,A,,A,D,
404,A,A,A,D,A,D,,D,A,D,A,D,A,,,F
406,A,A,A,D,D,A,F,A,C,D,,,A,D,A,
407,A,A,A,A,,D,D,D,,A,,,D,A,D,
409,A,A,D,D,A,A,D,D,A,A,D,A,C,A,D,A
410,D,D,A,C,,A,A,A,D,A,D,,,A,A,D
411,D,A,D,D,F,D,A,A,,A,A,,,,A,
413,F,D,D,A,D,A,D,A,D,,F,A,A,A,A,D
415,A,A,A,,A,,A,A,A,D,A,A,,,A,A
417,D,A,A,,F,A,,,D,,A,D,A,D,,A
419,A,,D,D,D,D,A,,D,A,A,D,,A,A,A
422,,A,A,A,A,A,A,A,A,A,A,D,,,D,D
423,,F,A,D,A,D,D,A,A,A,,C,D,,D,D
426,A,,,A,,,D,F,A,,D,D,D,A,A,A
427,D,A,A,D,F,D,F,A,D,D,,,D,C,D,D
430,A,A,,D,,C,A,A,A,A,A,D,A,A,,D
432,,,D,A,F,,A,,F,D,A,A,D,A,A,
433,,A,A,A,D,,A,A,D,A,,,D,D,D,D
434,D,,,D,F,,,D,,,C,A,A,A,D,A
435,D,,A,A,A,F,A,D,D,,A,D,A,A,A,D
436,,,F,A,F,D,A,,A,A,D,A,D,,F,D
437,,A,A,A,A,D,A,D,A,A,,,A,D,,
438,A,A,,A,A,A,A,D,D,A,A,D,F,A,A,A
439,A,D,A,A,,A,A,D,,A,A,A,,D,A,
440,A,A,A,A,A,D,D,D,D,A,D,,A,,,A
441,D,C,A,,A,C,D,A,A,A,A,A,A,A,A,A
447,A,F,A,,A,A,A,A,A,A,A,A,A,D,A,A
448,D,F,A,A,A,D,D,,D,,D,F,D,A,F,D
449,D,A,,A,D,,D,A,A,A,D,A,D,A,D,A
451,A,A,A,A,D,C,,A,A,D,F,A,A,D,A,D
454,A,D,A,D,D,A,A,D,,A,A,D,A,F,A,
457,A,A,,D,A,,,A,D,D,,,A,A,F,
458,,A,A,D,D,A,D,,A,A,D,A,D,D,A,A
460,A,A,A,A,A,D,A,A,A,A,D,A,,A,A,
461,A,A,D,A,,,D,A,D,A,,A,A,D,D,A
462,C,A,A,A,,F,A,F,,D,,A,A,D,A,A
464,A,A,D,A,A,F,A,D,D,D,,F,A,A,,D
466,,A,F,,F,,D,A,A,F,D,A,F,,A,F
467,C,F,D,D,A,A,A,A,,F,,,D,A,,A
469,A,A,A,,D,D,C,A,D,,A,D,A,,A,D
473,D,,A,D,D,F,D,D,A,D,A,A,,D,,A
474,D,,D,,A,,A,A,A,A,A,A,A,A,,A
475,A,A,A,A,,A,D,,D,A,A,D,A,C,D,
477,D,A,A,D,,A,A,A,D,A,A,D,A,D,F,D
478,A,D,A,A,F,A,,A,,D,C,D,A,A,D,
481,C,,A,A,A,,,A,A,,A,D,A,A,A,A
483,D,D,A,,,D,,D,A,,D,A,,,A,A
487,,A,A,A,F,D,C,A,A,A,,A,A,D,,A
491,A,A,A,,D,A,D,,A,A,,,A,,A,A
494,D,A,A,D,D,,D,D,A,D,A,A,,A,,A
496,,A,A,A,A,D,A,,D,,D,A,A,D,D,
497,A,,A,A,,D,C,D,A,A,A,A,A,F,A,
498,D,D,A,,A,D,A,A,A,A,A,A,F,D,A,A
499,A,A,A,A,F,A,A,F,A,D,A,A,,,A,A
500,D,,D,,A,D,D,A,,A,A,D,A,A,A,
501,A,A,F,A,,,F,D,D,D,A,,A,,,D
504,A,A,A,F,A,A,D,,A,A,D,F,A,D,A,
506,C,A,A,,A,A,A,A,A,,A,,D,,A,D
507,,A,D,A,,,,D,,A,A,A,A,,A,A
508,D,D,D,,A,D,A,A,F,D,A,A,A,A,A,
511,,A,A,A,,,D,A,D,,,D,F,A,A,
512,A,A,A,,D,A,A,D,,A,A,D,A,,A,A
513,A,,A,A,,A,D,D,,D,D,A,A,A,,
516,,,A,,A,,,D,A,,A,F,A,D,A,A
519,A,A,A,F,D,D,A,A,A,D,C,A,,F,,F
521,A,D,A,A,D,,A,A,,A,A,A,,D,D,A
522,D,A,A,D,A,D,A,A,A,A,A,A,D,A,D,A
523,D,A,F,A,A,,A,D,D,A,A,,A,,A,
524,A,F,,A,A,A,F,D,A,,A,,A,A,A,F
527,,A,A,D,,C,D,A,F,,A,A,D,D,A,D
529,A,A,D,A,,,,,A,,A,,,F,A,A
532,A,D,D,A,,A,,A,D,D,A,A,A,C,D,
533,A,,A,D,A,A,A,A,,A,D,A,A,,,
534,C,D,A,A,F,D,C,,D,D,D,A,D,F,D,A
535,D,C,D,A,,A,F,A,D,A,A,A,F,A,F,
538,A,D,D,,,,A,D,A,A,,A,A,A,A,
541,,A,,A,A,,A,A,,A,A,A,D,D,A,A
543,D,,D,D,,F,A,A,F,A,A,A,,A,D,D
544,,A,,A,,A,A,A,A,F,A,D,A,D,D,A
545,A,,A,A,D,D,D,,,D,A,A,C,A,A,D
546,A,D,A,A,D,A,,D,A,C,D,C,A,A,A,D
548,,A,A,A,,D,A,,D,A,D,,,A,A,A
550,A,D,D,D,,A,D,D,F,A,,A,D,,A,D
551,D,,,A,A,,A,,,A,F,A,A,A,F,D
553,,A,A,A,,D,D,F,,D,A,D,,D,A,A
556,A,,D,D,D,A,D,D,A,,D,A,D,F,F,D
557,,A,,A,A,A,,D,D,A,A,D,A,A,,A
561,D,F,,A,F,,A,,D,,A,D,F,A,,F
562,D,D,D,A,F,A,A,A,D,,A,D,D,,D,A
563,A,D,A,A,F,D,A,A,A,A,A,F,A,A,,F
564,D,,,A,A,D,A,A,,A,D,D,A,D,A,A
565,,A,A,D,A,D,A,A,A,F,A,A,F,D,A,C
566,F,D,D,,F,A,A,A,F,A,F,A,,C,A,D
568,A,C,D,,,A,,A,A,A,C,,A,F,,D
569,,A,D,A,A,A,,,,A,A,D,A,,A,A
570,,A,A,A,A,,F,A,A,F,A,D,D,A,A,D
571,A,A,A,,D,,C,D,A,D,,D,A,D,A,
572,D,D,D,A,,D,A,A,A,F,A,,D,A,,D
573,F,A,A,,,A,A,,A,F,A,F,A,D,A,C
574,D,D,A,F,A,A,,A,A,A,,C,,,D,A
575,A,D,F,C,D,A,F,A,D,,D,A,F,A,D,
577,D,A,A,A,,A,F,A,D,A,A,A,,A,A,A
578,A,A,A,D,D,D,D,A,F,A,D,,D,D,C,F
579,D,A,D,D,F,D,A,D,,,D,D,D,D,D,A
583,D,,A,,,,C,A,,A,D,,A,A,A,A
584,A,,,D,A,A,F,A,A,A,A,A,A,,F,A
585,A,A,A,A,A,A,D,A,A,D,A,,F,A,A,A
586,A,A,,A,D,,,D,A,D,A,,A,,F,D
587,D,A,A,D,D,D,A,A,D,A,,D,D,,A,
588,A,A,,D,,,F,A,C,D,,,,A,A,D
591,A,A,C,A,D,D,,D,D,D,D,A,D,A,D,D
594,A,D,,,A,A,A,A,C,D,A,,F,D,D,D
599,A,D,,A,A,,A,A,D,A,F,A,D,D,,
603,,A,A,D,,,A,,A,A,D,D,A,D,D,A
604,A,F,F,A,A,,A,A,A,A,,A,,D,F,D
605,A,D,,,C,A,,D,A,A,F,D,D,A,A,A
606,A,A,A,D,,A,D,D,A,C,A,A,A,A,A,F
607,A,A,D,A,A,D,A,,A,A,D,A,F,,F,F
608,,A,D,C,,A,A,A,A,A,A,D,A,A,F,F
609,A,,D,D,,,,A,,F,A,A,A,,A,A
612,A,,A,,A,D,,,,F,,A,,F,D,A
613,,A,C,,A,F,A,A,D,F,A,,,A,D,A
614,D,A,C,A,A,,D,A,D,D,A,A,F,,A,A
616,A,,A,D,,A,D,F,,,,D,C,,D,A
625,A,D,A,,A,A,A,A,A,,A,A,,,D,A
626,A,D,F,D,D,D,,D,A,,,A,D,D,F,A
627,D,C,D,A,A,D,D,A,D,D,A,A,,D,D,A
629,A,A,A,D,A,,,A,C,A,A,A,D,A,A,D
630,A,A,D,F,C,A,A,A,A,A,,F,D,,A,A
631,A,A,A,,,A,A,A,A,,,D,A,,A,A
632,A,A,,,A,A,F,D,,D,D,A,A,A,A,F
633,A,A,A,,A,A,D,,A,D,A,A,,C,D,A
634,A,,A,,A,,A,A,D,A,,F,D,,A,D
635,A,A,,A,A,A,D,D,,D,A,A,,A,A,
636,A,F,D,D,D,A,,,D,F,A,,,,,A
638,A,D,,,,C,F,D,A,A,A,D,,D,D,
641,D,A,,D,D,A,A,A,F,,A,A,A,A,D,
642,A,F,D,A,A,D,A,A,A,A,A,F,F,,D,A
644,A,F,A,D,D,A,D,D,F,D,A,D,,A,A,A
647,A,F,D,A,,F,,A,A,,A,A,D,A,A,
649,A,A,F,,F,D,A,,,A,A,A,A,,D,D
651,D,D,A,,,A,A,D,,A,A,D,D,A,,A
653,D,D,A,D,A,A,A,F,A,A,D,,D,A,A,
655,A,A,A,F,D,F,D,D,A,A,A,C,,A,A,A
656,A,D,D,,A,A,A,,A,,D,A,A,D,A,
659,F,,A,A,,A,D,,A,A,,A,,D,D,D
660,A,A,A,A,A,F,D,,A,A,A,D,A,D,A,A
661,,A,A,F,C,D,D,A,,,A,,A,D,A,A
662,A,,F,A,D,A,D,D,D,D,,,A,A,D,A
665,,A,A,D,D,A,D,A,C,A,A,D,D,,,A
668,F,,A,A,F,D,A,D,A,,A,D,,D,D,
669,,A,A,D,D,F,D,A,A,D,D,A,D,D,A,
670,D,A,A,D,A,A,A,,,,F,A,A,,D,A
672,D,,A,A,A,,A,A,D,,A,A,D,D,,F
674,,D,A,F,A,A,A,A,D,D,,A,,D,D,
676,A,,A,,,A,F,D,A,D,A,F,A,,D,A
677,A,A,D,A,D,,A,A,D,D,A,,D,,,A
678,D,A,D,A,A,A,,A,A,A,D,,A,A,A,
679,A,A,A,A,C,D,A,A,D,A,,A,A,,A,
681,A,D,A,D,A,D,A,A,D,A,A,A,D,D,A,D
682,A,A,A,A,A,A,A,D,D,,D,A,A,D,A,D
683,A,A,D,A,,A,F,,A,D,D,D,,,A,A
685,A,,A,D,A,,F,,D,A,A,D,,,D,
686,,D,A,A,D,,D,A,,A,,A,C,D,A,D
687,D,A,A,,,A,A,A,A,D,F,D,D,D,D,A
689,D,D,A,A,A,A,D,D,A,D,D,D,,,C,D
691,A,F,D,D,A,A,A,A,A,A,A,,F,A,D,D
693,A,A,A,A,,A,F,D,A,A,A,,D,A,A,A
695,,A,A,A,A,A,A,A,F,,D,A,D,,D,A
699,,D,A,D,A,D,A,A,A,,A,D,D,A,,A
700,,F,A,A,A,D,A,F,D,A,,A,D,A,D,D
701,A,,A,D,D,A,,F,D,A,D,A,A,,D,
702,D,A,A,F,A,D,D,D,A,A,D,A,A,A,D,A
703,A,A,,A,A,,A,F,A,A,,A,A,A,A,
704,,F,,,,A,A,A,,A,D,A,D,,,
708,A,D,A,,A,A,D,,A,D,A,A,,D,A,
710,F,A,F,D,A,F,D,A,F,D,A,D,A,A,A,F
711,D,F,A,A,A,,A,A,A,A,D,A,A,A,F,A
712,A,D,A,A,D,A,A,A,D,,F,A,,D,D,A
714,A,A,,D,A,,,F,,A,D,F,,A,A,
715,A,D,F,A,F,D,A,C,D,A,A,D,,,A,
716,,D,A,D,A,F,A,A,,A,D,A,A,A,F,D
718,,,D,A,F,D,,F,A,A,A,A,A,A,D,A
720,A,A,A,D,A,A,D,,D,A,F,A,A,A,A,
721,F,D,A,,A,,A,D,F,D,A,A,A,D,D,D
723,A,,A,D,A,C,A,D,A,A,A,F,D,D,A,
724,D,A,D,A,D,D,D,F,A,,A,D,,D,D,A
725,D,D,,A,F,A,D,A,D,A,C,A,C,,A,A
727,A,,D,,D,,A,D,D,A,D,D,A,A,D,A
730,A,,A,A,D,F,A,A,,D,,,A,,A,A
731,A,A,A,A,,,A,D,D,D,A,A,,A,,A
733,A,F,D,D,A,D,A,D,F,,,A,A,A,F,A
734,A,D,,,A,,A,A,D,A,A,F,A,A,F,D
735,A,A,F,A,D,A,A,A,A,F,D,A,A,,A,A
737,A,A,A,A,,,A,A,,A,D,,A,A,A,A
738,A,D,,,,A,D,F,A,,A,A,A,A,,
739,A,A,D,A,A,F,A,A,,D,A,F,A,A,A,
742,A,D,A,,,D,,D,D,A,A,,A,,,D
744,,A,,,,,D,A,,D,A,D,D,A,,F
745,A,F,,A,A,A,A,A,D,,F,,A,C,A,A
746,F,D,D,A,A,D,A,D,D,A,A,D,,D,C,
747,D,D,A,D,A,A,A,,A,A,A,F,D,A,A,A
749,A,F,A,F,A,A,D,A,D,A,A,,D,A,A,A
750,A,,A,A,D,,F,A,,D,,,A,A,A,A
751,A,F,D,D,F,D,,,A,A,F,A,A,A,,D
752,,A,F,D,D,,A,A,A,,A,C,A,,,F
753,A,,D,F,C,A,A,A,A,A,D,,A,A,A,D
756,A,A,A,C,A,,D,D,A,A,F,A,A,A,A,F
757,A,D,,D,D,D,,,A,F,A,D,,D,A,A
760,A,,D,A,D,A,D,A,D,,A,A,D,A,A,
763,,A,D,D,F,A,,A,A,A,D,F,A,,D,
766,A,A,F,A,D,D,A,A,A,D,D,A,,,D,A
767,A,A,,,A,D,A,F,A,D,A,,D,,,
771,A,A,A,D,,A,,A,F,D,D,D,A,A,A,A
772,A,,D,,,A,D,D,,,A,A,C,,,
777,F,,A,D,A,A,A,A,,D,F,F,F,A,A,C
779,D,A,A,,A,A,D,D,D,D,A,D,D,F,D,A
782,D,A,D,D,,A,,A,D,A,A,D,F,,A,A
783,D,A,A,D,D,,A,,D,A,A,D,A,C,A,D
785,,A,,A,A,,A,A,,A,A,A,A,A,F,D
